,F12event,F11event,F10event,F9event,F8event,F7event,F6event,F5event,F4event,F3event,F2event,L0event,L1event,L2event,L3event,L4event,L5event,L6event
F12event,0.00490622,0.00401986,0.00378415,0.0035267,0.00359422,0.00264273,0.00267584,0.00239012,0.00230529,0.00188953,0.00142073,0.00076065,0.00037238,-0.00010713,-0.00035109,-0.00071053,-0.00058921,-0.00141117
F11event,0.00401986,0.00435805,0.00326575,0.00331749,0.00317124,0.0025455,0.0024562,0.00224481,0.00222809,0.00175527,0.00142329,0.00092638,0.00039915,0.00020305,-0.00025324,-0.00046422,-0.00029295,-0.00084474
F10event,0.00378415,0.00326575,0.00394155,0.00305029,0.00302797,0.00230523,0.00254412,0.0020775,0.00213649,0.00178041,0.00143328,0.00085165,0.00066623,0.00033148,-0.00001351,-0.00045514,-0.00031061,-0.000848
F9event,0.0035267,0.00331749,0.00305029,0.00391499,0.00284709,0.00238672,0.0022942,0.00234342,0.00204023,0.00176841,0.00137792,0.00106404,0.00065855,0.00041591,-9.87E-06,0.000278,0.00009711,-0.00053635
F8event,0.00359422,0.00317124,0.00302797,0.00284709,0.00379029,0.00238772,0.00246559,0.00211582,0.00229321,0.00171765,0.00151818,0.00093866,0.00066827,0.00028246,0.00003164,-0.00018888,-0.00009287,-0.00058816
F7event,0.00264273,0.0025455,0.00230523,0.00238672,0.00238772,0.00244809,0.00193866,0.00189835,0.00181996,0.00162773,0.00129992,0.00102616,0.00058173,0.00058472,0.00004559,0.00012977,0.00019696,0.00017727
F6event,0.00267584,0.0024562,0.00254412,0.0022942,0.00246559,0.00193866,0.00238634,0.00167885,0.00183686,0.00154366,0.00136263,0.00090019,0.00066531,0.00046167,0.00008513,-0.0001704,0.00004971,-0.00012041
F5event,0.00239012,0.00224481,0.0020775,0.00234342,0.00211582,0.00189835,0.00167885,0.00227816,0.00160534,0.00146996,0.0012208,0.00096686,0.0005452,0.00048313,1.38E-04,0.00035047,0.00025593,-0.00002986
F4event,0.00230529,0.00222809,0.00213649,0.00204023,0.00229321,0.00181996,0.00183686,0.00160534,0.00232211,0.00153602,0.00137752,0.00107954,0.00065664,0.00064217,0.00025881,0.0003428,0.00030679,0.00029695
F3event,0.00188953,0.00175527,0.00178041,0.00176841,0.00171765,0.00162773,0.00154366,0.00146996,0.00153602,0.00216169,0.00134887,0.0009096,0.00070632,0.00066309,0.00033452,0.00026735,0.00040873,0.00019768
F2event,0.00142073,0.00142329,0.00143328,0.00137792,0.00151818,0.00129992,0.00136263,0.0012208,0.00137752,0.00134887,0.00195724,0.0011102,0.00088185,0.0011802,0.00057391,0.00067331,0.00084834,0.00092806
L0event,0.00076065,0.00092638,0.00085165,0.00106404,0.00093866,0.00102616,0.00090019,0.00096686,0.00107954,0.0009096,0.0011102,0.00179143,0.00069764,0.00124772,0.00067119,0.00137266,0.00094487,0.00161014
L1event,0.00037238,0.00039915,0.00066623,0.00065855,0.00066827,0.00058173,0.00066531,0.0005452,0.00065664,0.00070632,0.00088185,0.00069764,0.00157188,0.00091456,0.00076793,0.0006623,0.00103965,0.00099416
L2event,-0.00010713,0.00020305,0.00033148,0.00041591,0.00028246,0.00058472,0.00046167,0.00048313,0.00064217,0.00066309,0.0011802,0.00124772,0.00091456,0.00222076,0.00097049,1.69E-03,0.00143288,0.00243233
L3event,-0.00035109,-0.00025324,-0.00001351,-9.87E-06,0.00003164,0.00004559,0.00008513,1.38E-04,0.00025881,0.00033452,0.00057391,0.00067119,0.00076793,0.00097049,0.00172472,0.00108826,0.00103401,0.00118992
L4event,-0.00071053,-0.00046422,-0.00045514,0.000278,-0.00018888,0.00012977,-0.0001704,0.00035047,0.0003428,0.00026735,0.00067331,0.00137266,0.0006623,1.69E-03,0.00108826,0.00361561,0.00165445,0.00288667
L5event,-0.00058921,-0.00029295,-0.00031061,0.00009711,-0.00009287,0.00019696,0.00004971,0.00025593,0.00030679,0.00040873,0.00084834,0.00094487,0.00103965,0.00143288,0.00103401,0.00165445,0.00282661,0.00224047
L6event,-0.00141117,-0.00084474,-0.000848,-0.00053635,-0.00058816,0.00017727,-0.00012041,-0.00002986,0.00029695,0.00019768,0.00092806,0.00161014,0.00099416,0.00243233,0.00118992,0.00288667,0.00224047,0.00501929
